DateTime,AddedIPs,RemovedIPs
1518843635,0,6
1518844111,13,43
1518844608,58,4
1518845056,838,50
1518845557,58,4
1518846012,295,47
1518846524,25,1
1518846974,204,22
1518847481,20,3
1518847940,56,50
1518848444,4,3
1518848896,61,33
1518849397,14,2
1518849857,106,28
1518850359,19,4
1518850830,35,39
1518851318,13,6
1518851782,16,44
1518852283,12,4
1518852743,11,28
1518853231,11,5
1518853700,8,30
1518854203,2,1
1518854673,20,46
1518855153,7,3
1518855622,234,88
1518856123,6,4
1518856580,180,62
1518857073,10,5
1518857537,165,68
1518858043,9,6
1518858504,61,19
1518858995,8,2
1518859456,74,49
1518859971,13,4
1518860417,129,56
1518860912,7,1
1518861379,127,59
1518861883,16,6
1518862340,132,52
1518862813,0,1
1518863307,108,55
1518863788,0,3
1518864273,152,78
1518864998,20,5
1518865458,142,56
1518865961,9,0
1518866419,101,41
1518866913,2,7
1518867385,128,65
1518867885,3,3
1518868334,101,71
1518868840,7,4
1518869419,96,56
1518869806,8,4
1518870523,137,32
1518870981,13,2
1518871476,129,48
1518871946,3,4
1518872443,124,82
1518873160,3,5
1518873620,10,27
1518874118,6,3
1518874576,15,31
1518875078,1,1
1518875535,38,47
1518876267,5,2
1518877002,116,53
1518877457,11,2
1518877958,40,52
1518878435,7,1
1518878916,44,29
1518879375,6,6
1518879861,42,5
1518880360,5,3
1518882540,122,125
1518883460,47,35
1518884421,35,24
1518885393,55,55
1518886369,47,32
1518887297,41,37
1518888260,60,52
1518889219,39,36
1518890461,55,75
1518891375,12,3
1518892349,30,60
1518893556,70,120
1518894533,68,44
1518895455,46,8
1518896420,58,84
1518897401,56,71
1518898476,44,59
1518899533,48,46
1518900496,66,55
1518901468,240,26
1518902659,142,37
1518903613,110,54
1518904578,706,13
1518905534,154,1185
1518906751,65,92
1518907692,31,29
1518908664,64,60
1518909878,63,73
1518910946,55,50
1518912279,109,113
1518913217,14,5
1518914185,35,89
1518915139,20,10
1518916110,59,77
1518917054,15,0
1518918258,21,75
1518919222,16,63
1518920177,69,21
1518921398,62,86
1518922334,44,48
1518923308,36,33
1518924258,19,38
1518925479,16,36
1518926424,56,47
1518927391,90,62
1518928339,21,46
1518929306,26,48
1518930261,58,43
1518931217,47,74
1518932175,41,4
1518933156,44,45
1518934096,29,59
1518935054,48,26
1518936258,81,71
1518937484,49,88
1518938411,15,23
1518939373,24,64
1518940354,22,25
1518941322,100,69
1518942260,42,10
1518943215,19,38
1518944182,37,74
1518945405,22,29
1518946340,37,45
1518948297,72,85
1518949232,17,37
1518950178,50,56
1518951137,38,41
1518952116,19,30
1518953061,38,49
1518954020,25,48
1518954978,35,43
1518956060,30,48
1518957143,28,50
1518958095,19,3
1518959068,45,50
1518960032,38,23
1518960992,42,23
1518961955,52,81
1518962999,57,80
1518964100,57,64
1518965073,48,60
1518966015,24,0
1518966987,25,37
1518967959,22,42
1518968919,10,41
1518969860,62,59
1518970817,57,49
